,cityName,state,num_of_restaurants
0,Aptos,,1
1,Babylon,,1
2,Barrington,,1
3,Bellmawr,,1
4,Blowing Rock,,1
5,Briarcliff Manor,,1
6,Cherry Hill,,1
7,Collegeville,,1
8,Connellsville,,1
9,Coraopolis,,1
10,Drexel Hill,,1
11,East Hartford,,1
12,Ellicott City,,1
13,Endicott,,2
14,Fair Lawn,,1
15,Fleetwood,,1
16,Fort Lee,,1
17,Great Barrington,,1
18,Hammonton,,1
19,Hershey,,1
20,Islip,,2
21,Joppa,,1
22,Kernersville,,2
23,Lawrence Township,,1
24,Long Island City,,2
25,Mahopac,,1
26,Marlton,,1
27,Mastic Beach,,1
28,Mc Cordsville,,1
29,Mechanicsburg,,1
30,Middle Village,,1
31,Montville,,1
32,Mount Laurel,,3
33,Natick,,1
34,Newington,,1
35,Pine Plains,,1
36,Port Jefferson,,1
37,Port Washington,,2
38,Rockville Centre,,1
39,Saint Albans,,1
40,Saint James,,1
41,Sayville,,1
42,Schwenksville,,1
43,South Burlington,,1
44,South Weymouth,,1
45,South Windsor,,1
46,South Yarmouth,,1
47,Vernon Rockville,,1
48,Voorhees,,1
49,West Deptford,,1
50,Whitestone,,1
51,Winston Salem,,2
52,Fairbanks,AK,1
53,Auburn,AL,3
54,Birmingham,AL,2
55,Hamilton,AL,1
56,Mobile,AL,1
57,Montgomery,AL,1
58,Sylacauga,AL,1
59,Troy,AL,1
60,Bentonville,AR,1
61,Cabot,AR,1
62,Fort Smith,AR,1
63,Jonesboro,AR,1
64,Sherwood,AR,1
65,Cave Creek,AZ,1
66,Chandler,AZ,1
67,Flagstaff,AZ,1
68,Glendale,AZ,1
69,Lake Havasu City,AZ,1
70,Phoenix,AZ,4
71,Prescott,AZ,1
72,Prescott Valley,AZ,1
73,Scottsdale,AZ,3
74,Sedona,AZ,1
75,Show Low,AZ,1
76,Tempe,AZ,1
77,Williams,AZ,1
78,Alameda,CA,1
79,Aliso Viejo,CA,1
80,Bakersfield,CA,1
81,Brentwood,CA,1
82,Canoga Park,CA,1
83,Corona,CA,3
84,Costa Mesa,CA,1
85,Danville,CA,1
86,Desert Hot Springs,CA,1
87,Dinuba,CA,1
88,El Segundo,CA,1
89,Encinitas,CA,2
90,Folsom,CA,1
91,Fresno,CA,1
92,Fullerton,CA,1
93,Hermosa Beach,CA,1
94,Hollister,CA,1
95,Huntington Beach,CA,1
96,Irvine,CA,2
97,Laguna Niguel,CA,1
98,Lake Forest,CA,1
99,Lakeside,CA,1
100,Lathrop,CA,1
101,Lompoc,CA,1
102,Long Beach,CA,2
103,Los Angeles,CA,8
104,Marina Del Rey,CA,1
105,Menifee,CA,1
106,Mill Valley,CA,1
107,Modesto,CA,2
108,Moorpark,CA,1
109,Novato,CA,1
110,Palm Desert,CA,2
111,Palo Alto,CA,2
112,Pasadena,CA,2
113,Petaluma,CA,1
114,Pleasant Hill,CA,1
115,Pomona,CA,1
116,Rancho Cucamonga,CA,1
117,Rancho Palos Verdes,CA,1
118,Redondo Beach,CA,1
119,Redwood City,CA,1
120,Rohnert Park,CA,1
121,Sacramento,CA,2
122,San Diego,CA,5
123,San Francisco,CA,2
124,San Jose,CA,1
125,San Juan,CA,1
126,San Rafael,CA,1
127,Santa Clarita,CA,1
128,Santa Cruz,CA,2
129,Santa Maria,CA,1
130,Solana Beach,CA,1
131,South San Francisco,CA,1
132,Studio City,CA,1
133,Thousand Oaks,CA,2
134,Tracy,CA,1
135,Upland,CA,1
136,Vallejo,CA,1
137,Venice,CA,1
138,Ventura,CA,2
139,Yucaipa,CA,2
140,Arvada,CO,2
141,Aurora,CO,2
142,Berthoud,CO,1
143,Colorado Springs,CO,3
144,Denver,CO,6
145,Englewood,CO,1
146,Evergreen,CO,1
147,Fort Collins,CO,1
148,Idaho Springs,CO,1
149,Johnstown,CO,1
150,Littleton,CO,1
151,Berlin,CT,1
152,Danbury,CT,1
153,East Granby,CT,1
154,Hamden,CT,1
155,Manchester,CT,2
156,Newtown,CT,1
157,Pawcatuck,CT,1
158,Shelton,CT,1
159,Simsbury,CT,1
160,Stamford,CT,1
161,Wallingford,CT,1
162,Waterbury,CT,1
163,Washington,DC,4
164,Newark,DE,3
165,Wilmington,DE,4
166,Alachua,FL,1
167,Altamonte Springs,FL,3
168,Arcadia,FL,1
169,Bartow,FL,1
170,Belleview,FL,1
171,Bradenton Beach,FL,1
172,Broward County,FL,1
173,Clearwater,FL,1
174,Deerfield,FL,1
175,Deland,FL,1
176,Destin,FL,1
177,Dunedin,FL,1
178,Fort Lauderdale,FL,5
179,Fort Myers,FL,1
180,Gainesville,FL,1
181,Hollywood,FL,2
182,Jacksonville,FL,2
183,Kissimmee,FL,1
184,Lehigh Acres,FL,1
185,Maitland,FL,2
186,Miami,FL,2
187,Miami Beach,FL,2
188,Naples,FL,1
189,Nokomis,FL,1
190,North Miami Beach,FL,1
191,North Port,FL,1
