,postCode,restaurant,restaurantName
0,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Baldinelli_Pizza,Baldinelli Pizza
1,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Bertucci_s___4,Bertucci's
2,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Masago,Masago
3,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/La_Hacienda_Real___1,La Hacienda Real
4,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Five_Below,Five Below
5,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Pizza_City,Pizza City
6,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Two_Brothers_Deli,Two Brothers Deli
7,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Papa_John_s_Pizza___7,Papa John's Pizza
8,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/San_Biagio_s_Pizza,San Biagio's Pizza
9,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Milt_s_Pizza_Place_Llc,Milt's Pizza Place Llc
10,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Ak_Diamonds,Ak Diamonds
11,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Valley_Lahvosh_Baking,Valley Lahvosh Baking
12,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Villa_Rose_Pizza,Villa Rose Pizza
13,,https://www.city.ac.uk/ds/inm713/zacharias_detorakis/Sir_Pizza,Sir Pizza
