,cityName,state,num_of_restaurants
0,Aptos,,1
1,Babylon,,1
2,Barrington,,1
3,Bellmawr,,1
4,Blowing Rock,,1
5,Briarcliff Manor,,1
6,Cherry Hill,,1
7,Collegeville,,1
8,Connellsville,,1
9,Coraopolis,,1
10,Drexel Hill,,1
11,East Hartford,,1
12,Ellicott City,,1
13,Endicott,,2
14,Fair Lawn,,1
15,Fleetwood,,1
16,Fort Lee,,1
17,Great Barrington,,1
18,Hammonton,,1
19,Hershey,,1
20,Islip,,2
21,Joppa,,1
22,Kernersville,,2
23,Lawrence Township,,1
24,Long Island City,,2
25,Mahopac,,1
26,Marlton,,1
27,Mastic Beach,,1
28,Mc Cordsville,,1
29,Mechanicsburg,,1
30,Middle Village,,1
31,Montville,,1
32,Mount Laurel,,3
33,Natick,,1
34,Newington,,1
35,Pine Plains,,1
36,Port Jefferson,,1
37,Port Washington,,2
38,Rockville Centre,,1
39,Saint Albans,,1
40,Saint James,,1
41,Sayville,,1
42,Schwenksville,,1
43,South Burlington,,1
44,South Weymouth,,1
45,South Windsor,,1
46,South Yarmouth,,1
47,Vernon Rockville,,1
48,Voorhees,,1
49,West Deptford,,1
50,Whitestone,,1
51,Winston Salem,,2
52,Fairbanks,AK,1
53,Auburn,AL,3
54,Birmingham,AL,2
55,Mobile,AL,1
56,Montgomery,AL,1
57,Sylacauga,AL,1
58,Bentonville,AR,1
59,Cabot,AR,1
60,Fort Smith,AR,1
61,Jonesboro,AR,1
62,Newark,AR,3
63,Sherwood,AR,1
64,Cave Creek,AZ,1
65,Chandler,AZ,1
66,Flagstaff,AZ,1
67,Glendale,AZ,1
68,Lake Havasu City,AZ,1
69,Phoenix,AZ,4
70,Prescott,AZ,1
71,Prescott Valley,AZ,1
72,Scottsdale,AZ,3
73,Sedona,AZ,1
74,Show Low,AZ,1
75,Tempe,AZ,1
76,Williams,AZ,1
77,Alameda,CA,1
78,Aliso Viejo,CA,1
79,Bakersfield,CA,1
80,Brentwood,CA,1
81,Canoga Park,CA,1
82,Chatsworth,CA,2
83,Corona,CA,3
84,Costa Mesa,CA,1
85,Danville,CA,1
86,Desert Hot Springs,CA,1
87,Dinuba,CA,1
88,El Segundo,CA,1
89,Encinitas,CA,2
90,Folsom,CA,1
91,Fresno,CA,1
92,Fullerton,CA,1
93,Hermosa Beach,CA,1
94,Hollister,CA,1
95,Huntington Beach,CA,1
96,Irvine,CA,2
97,Laguna Niguel,CA,1
98,Lake Forest,CA,1
99,Lakeside,CA,1
100,Lathrop,CA,1
101,Lompoc,CA,1
102,Long Beach,CA,2
103,Los Angeles,CA,8
104,Marina Del Rey,CA,1
105,Menifee,CA,1
106,Mill Valley,CA,1
107,Modesto,CA,2
108,Moorpark,CA,1
109,Novato,CA,1
110,Palm Desert,CA,2
111,Palo Alto,CA,2
112,Petaluma,CA,1
113,Pleasant Hill,CA,1
114,Pomona,CA,1
115,Rancho Cucamonga,CA,1
116,Rancho Palos Verdes,CA,1
117,Redondo Beach,CA,1
118,Redwood City,CA,1
119,Rohnert Park,CA,1
120,Sacramento,CA,2
121,San Diego,CA,5
122,San Francisco,CA,2
123,San Jose,CA,1
124,San Juan,CA,1
125,San Rafael,CA,1
126,Santa Clarita,CA,1
127,Santa Cruz,CA,2
128,Santa Maria,CA,1
129,Solana Beach,CA,1
130,South San Francisco,CA,1
131,Studio City,CA,1
132,Thousand Oaks,CA,2
133,Tracy,CA,1
134,Upland,CA,1
135,Vallejo,CA,1
136,Venice,CA,1
137,Ventura,CA,2
138,Yucaipa,CA,2
139,Arvada,CO,2
140,Aurora,CO,2
141,Berthoud,CO,1
142,Colorado Springs,CO,3
143,Denver,CO,6
144,Englewood,CO,1
145,Evergreen,CO,1
146,Fort Collins,CO,1
147,Idaho Springs,CO,1
148,Johnstown,CO,1
149,Littleton,CO,1
150,Berlin,CT,1
151,Danbury,CT,1
152,East Granby,CT,1
153,Hamden,CT,1
154,Manchester,CT,2
155,Newtown,CT,1
156,Pawcatuck,CT,1
157,Shelton,CT,1
158,Simsbury,CT,1
159,Stamford,CT,1
160,Wallingford,CT,1
161,Waterbury,CT,1
162,West Haven,CT,1
163,Wilmington,DE,4
164,Alachua,FL,1
165,Altamonte Springs,FL,3
166,Arcadia,FL,1
167,Bartow,FL,1
168,Belleview,FL,1
169,Bradenton Beach,FL,1
170,Broward County,FL,1
171,Clearwater,FL,1
172,Deerfield,FL,1
173,Deland,FL,1
174,Destin,FL,1
175,Dunedin,FL,1
176,Fort Lauderdale,FL,5
177,Fort Myers,FL,1
178,Gainesville,FL,1
179,Hollywood,FL,2
180,Jacksonville,FL,2
181,Kissimmee,FL,1
182,Lehigh Acres,FL,1
183,Maitland,FL,2
184,Miami,FL,2
185,Miami Beach,FL,2
186,Naples,FL,1
187,Nokomis,FL,1
188,North Miami Beach,FL,1
189,North Port,FL,1
190,Ocala,FL,1
